Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2010-04-21 00:00:00,0.09,0.12,2010-04-21,0.09,0.12,2010-Q2,AAPL
2010-07-20 20:00:00,0.11,0.13,2010-07-20,0.11,0.13,2010-Q3,AAPL
2010-10-18 20:00:00,0.14,0.17,2010-10-18,0.14,0.17,2010-Q4,AAPL
2011-01-18 21:00:00,0.19,0.23,2011-01-18,0.19,0.23,2011-Q1,AAPL
2011-04-20 20:00:00,0.19,0.23,2011-04-20,0.19,0.23,2011-Q2,AAPL
2011-07-19 20:00:00,0.21,0.28,2011-07-19,0.21,0.28,2011-Q3,AAPL
2011-10-18 20:00:00,0.26,0.25,2011-10-18,0.26,0.25,2011-Q4,AAPL
2012-01-24 21:00:00,0.36,0.5,2012-01-24,0.36,0.5,2012-Q1,AAPL
2012-04-24 20:00:00,0.35,0.44,2012-04-24,0.35,0.44,2012-Q2,AAPL
2012-07-24 20:00:00,0.37,0.33,2012-07-24,0.37,0.33,2012-Q3,AAPL
2012-10-25 20:00:00,0.31,0.31,2012-10-25,0.31,0.31,2012-Q4,AAPL
2013-01-23 21:00:00,0.48,0.49,2013-01-23,0.48,0.49,2013-Q1,AAPL
2013-04-23 20:00:00,0.36,0.36,2013-04-23,0.36,0.36,2013-Q2,AAPL
2013-07-23 20:00:00,0.26,0.27,2013-07-23,0.26,0.27,2013-Q3,AAPL
2013-10-28 20:00:00,0.28,0.3,2013-10-28,0.28,0.3,2013-Q4,AAPL
2014-01-27 21:00:00,0.5,0.52,2014-01-27,0.5,0.52,2014-Q1,AAPL
2014-04-23 20:00:00,0.36,0.42,2014-04-23,0.36,0.42,2014-Q2,AAPL
2014-07-22 20:00:00,0.31,0.32,2014-07-22,0.31,0.32,2014-Q3,AAPL
2014-10-20 20:00:00,0.33,0.36,2014-10-20,0.33,0.36,2014-Q4,AAPL
2015-01-27 21:00:00,0.65,0.77,2015-01-27,0.65,0.77,2015-Q1,AAPL
2015-04-27 20:00:00,0.54,0.58,2015-04-27,0.54,0.58,2015-Q2,AAPL
2015-07-21 20:00:00,0.45,0.46,2015-07-21,0.45,0.46,2015-Q3,AAPL
2015-10-27 20:00:00,0.47,0.49,2015-10-27,0.47,0.49,2015-Q4,AAPL
2016-01-26 21:00:00,0.81,0.82,2016-01-26,0.81,0.82,2016-Q1,AAPL
2016-04-26 20:00:00,0.5,0.48,2016-04-26,0.5,0.48,2016-Q2,AAPL
2016-07-26 20:00:00,0.35,0.36,2016-07-26,0.35,0.36,2016-Q3,AAPL
2016-10-25 20:00:00,0.41,0.42,2016-10-25,0.41,0.42,2016-Q4,AAPL
2017-01-31 21:00:00,0.81,0.84,2017-01-31,0.81,0.84,2017-Q1,AAPL
2017-05-02 20:00:00,0.51,0.53,2017-05-02,0.51,0.53,2017-Q2,AAPL
2017-08-01 20:00:00,0.39,0.42,2017-08-01,0.39,0.42,2017-Q3,AAPL
2017-11-02 20:00:00,0.47,0.52,2017-11-02,0.47,0.52,2017-Q4,AAPL
2018-02-01 21:00:00,0.96,0.97,2018-02-01,0.96,0.97,2018-Q1,AAPL
2018-05-01 20:00:00,0.67,0.68,2018-05-01,0.67,0.68,2018-Q2,AAPL
2018-07-31 20:00:00,0.54,0.59,2018-07-31,0.54,0.59,2018-Q3,AAPL
2018-11-01 20:00:00,0.7,0.73,2018-11-01,0.7,0.73,2018-Q4,AAPL
2019-01-29 21:00:00,1.04,1.05,2019-01-29,1.04,1.05,2019-Q1,AAPL
2019-04-30 20:00:00,0.59,0.62,2019-04-30,0.59,0.62,2019-Q2,AAPL
2019-07-30 20:00:00,0.53,0.55,2019-07-30,0.53,0.55,2019-Q3,AAPL
2019-10-30 20:00:00,0.71,0.76,2019-10-30,0.71,0.76,2019-Q4,AAPL
2020-01-28 21:00:00,1.13,1.25,2020-01-28,1.13,1.25,2020-Q1,AAPL
2020-04-30 21:00:00,0.56,0.64,2020-04-30,0.56,0.64,2020-Q2,AAPL
2020-07-30 20:00:00,0.52,0.65,2020-07-30,0.52,0.65,2020-Q3,AAPL
2020-10-29 20:00:00,0.7,0.73,2020-10-29,0.7,0.73,2020-Q4,AAPL
2021-01-27 21:00:00,1.42,1.68,2021-01-27,1.42,1.68,2021-Q1,AAPL
2021-04-28 20:00:00,0.98,1.4,2021-04-28,0.98,1.4,2021-Q2,AAPL
2021-07-27 20:00:00,1.01,1.3,2021-07-27,1.01,1.3,2021-Q3,AAPL
2021-10-28 20:00:00,1.24,1.24,2021-10-28,1.24,1.24,2021-Q4,AAPL
2022-01-27 21:00:00,1.89,2.1,2022-01-27,1.89,2.1,2022-Q1,AAPL
2022-04-28 20:00:00,1.43,1.52,2022-04-28,1.43,1.52,2022-Q2,AAPL
2022-07-28 20:00:00,1.15,1.2,2022-07-28,1.15,1.2,2022-Q3,AAPL
2022-10-27 20:00:00,1.27,1.29,2022-10-27,1.27,1.29,2022-Q4,AAPL
2023-02-02 21:00:00,1.95,1.88,2023-02-02,1.95,1.88,2023-Q1,AAPL
2023-05-04 20:00:00,1.43,1.52,2023-05-04,1.43,1.52,2023-Q2,AAPL
2023-08-03 20:00:00,1.19,1.26,2023-08-03,1.19,1.26,2023-Q3,AAPL
2023-11-02 20:00:00,1.39,1.46,2023-11-02,1.39,1.46,2023-Q4,AAPL
2024-02-01 21:00:00,2.11,2.18,2024-02-01,2.11,2.18,2024-Q1,AAPL
2024-05-02 20:00:00,1.5,1.53,2024-05-02,1.5,1.53,2024-Q2,AAPL
2024-08-01 20:00:00,1.34,1.4,2024-08-01,1.34,1.4,2024-Q3,AAPL
2024-10-31 20:00:00,0.95,0.97,2024-10-31,0.95,0.97,2024-Q4,AAPL
2025-01-30 21:00:00,2.34,2.4,2025-01-30,2.34,2.4,2025-Q1,AAPL
2025-05-01 20:00:00,1.62,1.65,2025-05-01,1.62,1.65,2025-Q2,AAPL
2025-07-31 20:00:00,1.43,1.57,2025-07-31,1.43,1.57,2025-Q3,AAPL
2025-10-30 20:00:00,1.77,1.85,2025-10-30,1.77,1.85,2025-Q4,AAPL
2026-01-29 21:00:00,2.67,2.84,2026-01-29,2.67,2.84,2026-Q1,AAPL
2026-04-30 21:00:00,1.95,,2026-04-30,1.95,,2026-Q2,AAPL
2001-06-14 20:00:00,0.14,0.17,2001-06-14,0.14,0.17,2001-Q2,ADBE
2001-09-19 11:00:00,0.14,0.14,2001-09-19,0.14,0.14,2001-Q3,ADBE
2001-12-13 21:00:00,0.11,0.1,2001-12-13,0.11,0.1,2001-Q4,ADBE
2002-03-14 21:00:00,0.1,0.11,2002-03-14,0.1,0.11,2002-Q1,ADBE
2002-06-13 20:00:00,0.13,0.14,2002-06-13,0.13,0.14,2002-Q2,ADBE
2002-09-12 20:00:00,0.1,0.11,2002-09-12,0.1,0.11,2002-Q3,ADBE
2002-12-12 21:00:00,0.11,0.13,2002-12-12,0.11,0.13,2002-Q4,ADBE
2003-03-13 21:00:00,0.11,0.13,2003-03-13,0.11,0.13,2003-Q1,ADBE
2003-06-12 20:00:00,0.13,0.14,2003-06-12,0.13,0.14,2003-Q2,ADBE
2003-09-10 20:00:00,0.12,0.14,2003-09-10,0.12,0.14,2003-Q3,ADBE
2003-12-11 21:00:00,0.16,0.17,2003-12-11,0.16,0.17,2003-Q4,ADBE
2004-03-18 21:00:00,0.2,0.25,2004-03-18,0.2,0.25,2004-Q1,ADBE
2004-06-17 20:00:00,0.21,0.22,2004-06-17,0.21,0.22,2004-Q2,ADBE
2004-09-20 20:00:00,0.19,0.22,2004-09-20,0.19,0.22,2004-Q3,ADBE
2004-12-16 21:00:00,0.21,0.22,2004-12-16,0.21,0.22,2004-Q4,ADBE
2005-03-17 21:00:00,0.25,0.27,2005-03-17,0.25,0.27,2005-Q1,ADBE
2005-06-16 20:00:00,0.27,0.28,2005-06-16,0.27,0.28,2005-Q2,ADBE
2005-09-15 20:00:00,0.27,0.29,2005-09-15,0.27,0.29,2005-Q3,ADBE
2005-12-15 21:00:00,0.28,0.3,2005-12-15,0.28,0.3,2005-Q4,ADBE
2006-03-22 22:00:00,0.15,0.17,2006-03-22,0.15,0.17,2006-Q1,ADBE
2006-06-15 20:00:00,0.3,0.31,2006-06-15,0.3,0.31,2006-Q2,ADBE
2006-09-14 20:00:00,0.26,0.29,2006-09-14,0.26,0.29,2006-Q3,ADBE
2006-12-14 21:00:00,0.33,0.33,2006-12-14,0.33,0.33,2006-Q4,ADBE
2007-03-20 20:00:00,0.29,0.3,2007-03-20,0.29,0.3,2007-Q1,ADBE
2007-06-14 20:00:00,0.36,0.37,2007-06-14,0.36,0.37,2007-Q2,ADBE
2007-09-17 20:00:00,0.41,0.45,2007-09-17,0.41,0.45,2007-Q3,ADBE
2007-12-17 21:00:00,0.48,0.49,2007-12-17,0.48,0.49,2007-Q4,ADBE
2008-03-18 20:00:00,0.45,0.48,2008-03-18,0.45,0.48,2008-Q1,ADBE
2008-06-16 20:00:00,0.46,0.5,2008-06-16,0.46,0.5,2008-Q2,ADBE
2008-09-16 20:00:00,0.46,0.5,2008-09-16,0.46,0.5,2008-Q3,ADBE
2008-12-16 21:00:00,0.57,0.6,2008-12-16,0.57,0.6,2008-Q4,ADBE
2009-03-17 20:00:00,0.44,0.45,2009-03-17,0.44,0.45,2009-Q1,ADBE
2009-06-16 20:00:00,0.34,0.35,2009-06-16,0.34,0.35,2009-Q2,ADBE
2009-09-15 20:00:00,0.33,0.35,2009-09-15,0.33,0.35,2009-Q3,ADBE
2009-12-15 21:00:00,0.37,0.39,2009-12-15,0.37,0.39,2009-Q4,ADBE
2010-03-23 20:00:00,0.37,0.4,2010-03-23,0.37,0.4,2010-Q1,ADBE
2010-06-22 20:00:00,0.43,0.44,2010-06-22,0.43,0.44,2010-Q2,ADBE
2010-09-21 20:00:00,0.36,0.44,2010-09-21,0.36,0.44,2010-Q3,ADBE
2010-12-20 21:00:00,0.4,0.53,2010-12-20,0.4,0.53,2010-Q4,ADBE
2011-03-22 20:00:00,0.57,0.58,2011-03-22,0.57,0.58,2011-Q1,ADBE
2011-06-21 20:00:00,0.51,0.55,2011-06-21,0.51,0.55,2011-Q2,ADBE
2011-09-20 20:00:00,0.54,0.55,2011-09-20,0.54,0.55,2011-Q3,ADBE
2011-12-15 21:00:00,0.61,0.67,2011-12-15,0.61,0.67,2011-Q4,ADBE
2012-03-19 20:00:00,0.57,0.57,2012-03-19,0.57,0.57,2012-Q1,ADBE
2012-06-19 20:00:00,0.59,0.6,2012-06-19,0.59,0.6,2012-Q2,ADBE
2012-09-19 20:00:00,0.42,0.4,2012-09-19,0.42,0.4,2012-Q3,ADBE
2012-12-13 21:00:00,0.56,0.61,2012-12-13,0.56,0.61,2012-Q4,ADBE
2013-03-19 20:00:00,0.31,0.35,2013-03-19,0.31,0.35,2013-Q1,ADBE
2013-06-18 20:00:00,0.34,0.36,2013-06-18,0.34,0.36,2013-Q2,ADBE
2013-09-17 20:00:00,0.33,0.32,2013-09-17,0.33,0.32,2013-Q3,ADBE
2013-12-12 21:00:00,0.32,0.32,2013-12-12,0.32,0.32,2013-Q4,ADBE
2014-03-18 20:00:00,0.25,0.3,2014-03-18,0.25,0.3,2014-Q1,ADBE
2014-06-17 20:00:00,0.3,0.37,2014-06-17,0.3,0.37,2014-Q2,ADBE
2014-09-16 20:00:00,0.26,0.28,2014-09-16,0.26,0.28,2014-Q3,ADBE
2014-12-11 21:00:00,0.3,0.36,2014-12-11,0.3,0.36,2014-Q4,ADBE
2015-03-17 20:00:00,0.39,0.44,2015-03-17,0.39,0.44,2015-Q1,ADBE
2015-06-16 20:00:00,0.45,0.48,2015-06-16,0.45,0.48,2015-Q2,ADBE
2015-09-17 20:00:00,0.5,0.54,2015-09-17,0.5,0.54,2015-Q3,ADBE
2015-12-10 21:00:00,0.6,0.62,2015-12-10,0.6,0.62,2015-Q4,ADBE
2016-03-17 20:00:00,0.61,0.66,2016-03-17,0.61,0.66,2016-Q1,ADBE
2016-06-21 20:00:00,0.68,0.71,2016-06-21,0.68,0.71,2016-Q2,ADBE
2016-09-20 20:00:00,0.72,0.75,2016-09-20,0.72,0.75,2016-Q3,ADBE
2016-12-15 21:00:00,0.86,0.9,2016-12-15,0.86,0.9,2016-Q4,ADBE
2017-03-16 20:00:00,0.87,0.94,2017-03-16,0.87,0.94,2017-Q1,ADBE
2017-06-20 20:00:00,0.95,1.02,2017-06-20,0.95,1.02,2017-Q2,ADBE
2017-09-19 20:00:00,1.01,1.1,2017-09-19,1.01,1.1,2017-Q3,ADBE
2017-12-14 21:00:00,1.16,1.26,2017-12-14,1.16,1.26,2017-Q4,ADBE
2018-03-15 20:00:00,1.44,1.55,2018-03-15,1.44,1.55,2018-Q1,ADBE
2018-06-14 20:00:00,1.54,1.66,2018-06-14,1.54,1.66,2018-Q2,ADBE
2018-09-13 20:00:00,1.69,1.73,2018-09-13,1.69,1.73,2018-Q3,ADBE
2018-12-13 21:00:00,1.84,1.83,2018-12-13,1.84,1.83,2018-Q4,ADBE
2019-03-14 20:00:00,1.62,1.71,2019-03-14,1.62,1.71,2019-Q1,ADBE
2019-06-18 20:00:00,1.78,1.83,2019-06-18,1.78,1.83,2019-Q2,ADBE
2019-09-17 20:00:00,1.97,2.05,2019-09-17,1.97,2.05,2019-Q3,ADBE
2019-12-12 21:00:00,2.26,2.29,2019-12-12,2.26,2.29,2019-Q4,ADBE
2020-03-12 20:00:00,2.23,2.27,2020-03-12,2.23,2.27,2020-Q1,ADBE
2020-06-11 20:00:00,2.32,2.45,2020-06-11,2.32,2.45,2020-Q2,ADBE
2020-09-15 20:00:00,2.41,2.57,2020-09-15,2.41,2.57,2020-Q3,ADBE
2020-12-10 13:00:00,2.66,2.81,2020-12-10,2.66,2.81,2020-Q4,ADBE
2021-03-23 20:00:00,2.79,3.14,2021-03-23,2.79,3.14,2021-Q1,ADBE
2021-06-17 20:00:00,2.82,3.03,2021-06-17,2.82,3.03,2021-Q2,ADBE
2021-09-21 20:00:00,3.02,3.11,2021-09-21,3.02,3.11,2021-Q3,ADBE
2021-12-16 13:00:00,3.2,3.2,2021-12-16,3.2,3.2,2021-Q4,ADBE
2022-03-22 20:00:00,3.34,3.37,2022-03-22,3.34,3.37,2022-Q1,ADBE
2022-06-16 20:00:00,3.31,3.35,2022-06-16,3.31,3.35,2022-Q2,ADBE
2022-09-15 12:00:00,3.34,3.4,2022-09-15,3.34,3.4,2022-Q3,ADBE
2022-12-15 21:00:00,3.5,3.6,2022-12-15,3.5,3.6,2022-Q4,ADBE
2023-03-15 20:00:00,3.68,3.8,2023-03-15,3.68,3.8,2023-Q1,ADBE
2023-06-15 20:00:00,3.79,3.91,2023-06-15,3.79,3.91,2023-Q2,ADBE
2023-09-14 20:00:00,3.98,4.1,2023-09-14,3.98,4.1,2023-Q3,ADBE
2023-12-13 21:00:00,4.14,4.27,2023-12-13,4.14,4.27,2023-Q4,ADBE
2024-03-14 20:00:00,4.38,4.48,2024-03-14,4.38,4.48,2024-Q1,ADBE
2024-06-13 20:00:00,4.4,4.48,2024-06-13,4.4,4.48,2024-Q2,ADBE
2024-09-12 20:00:00,4.54,4.65,2024-09-12,4.54,4.65,2024-Q3,ADBE
2024-12-11 21:00:00,4.67,4.81,2024-12-11,4.67,4.81,2024-Q4,ADBE
2025-03-12 20:00:00,4.97,5.08,2025-03-12,4.97,5.08,2025-Q1,ADBE
2025-06-12 20:00:00,4.97,5.06,2025-06-12,4.97,5.06,2025-Q2,ADBE
2025-09-11 20:00:00,5.18,5.31,2025-09-11,5.18,5.31,2025-Q3,ADBE
2025-12-10 21:00:00,5.4,5.5,2025-12-10,5.4,5.5,2025-Q4,ADBE
2026-03-12 21:00:00,5.87,,2026-03-12,5.87,,2026-Q1,ADBE
2001-07-12 21:00:00,0.04,0.05,2001-07-12,0.04,0.05,2001-Q3,AMD
2001-10-17 21:00:00,-0.28,-0.28,2001-10-17,-0.28,-0.28,2001-Q4,AMD
2002-01-16 22:00:00,-0.18,-0.05,2002-01-16,-0.18,-0.05,2002-Q1,AMD
2002-04-17 21:00:00,-0.06,-0.03,2002-04-17,-0.06,-0.03,2002-Q2,AMD
2002-07-17 21:00:00,-0.44,-0.54,2002-07-17,-0.44,-0.54,2002-Q3,AMD
2002-10-16 20:00:00,-0.67,-0.74,2002-10-16,-0.67,-0.74,2002-Q4,AMD
2003-01-16 21:00:00,-0.43,-0.68,2003-01-16,-0.43,-0.68,2003-Q1,AMD
2003-04-16 20:00:00,-0.49,-0.42,2003-04-16,-0.49,-0.42,2003-Q2,AMD
2003-07-16 20:00:00,-0.55,-0.4,2003-07-16,-0.55,-0.4,2003-Q3,AMD
2003-10-16 20:00:00,-0.36,-0.11,2003-10-16,-0.36,-0.11,2003-Q4,AMD
2004-01-20 21:00:00,0.04,0.09,2004-01-20,0.04,0.09,2004-Q1,AMD
2004-04-14 20:00:00,0.03,0.12,2004-04-14,0.03,0.12,2004-Q2,AMD
2004-07-14 20:00:00,0.09,0.09,2004-07-14,0.09,0.09,2004-Q3,AMD
2004-10-07 20:00:00,0.12,0.12,2004-10-07,0.12,0.12,2004-Q4,AMD
2005-01-18 21:00:00,0.07,0.05,2005-01-18,0.07,0.05,2005-Q1,AMD
2005-04-13 20:00:00,0.02,-0.04,2005-04-13,0.02,-0.04,2005-Q2,AMD
2005-07-13 20:00:00,-0.05,0.03,2005-07-13,-0.05,0.03,2005-Q3,AMD
2005-10-11 20:00:00,0.08,0.18,2005-10-11,0.08,0.18,2005-Q4,AMD
2006-01-18 21:00:00,0.26,0.45,2006-01-18,0.26,0.45,2006-Q1,AMD
2006-04-12 20:00:00,0.3,0.42,2006-04-12,0.3,0.42,2006-Q2,AMD
2006-07-20 20:00:00,0.2,0.18,2006-07-20,0.2,0.18,2006-Q3,AMD
2006-10-18 20:00:00,0.23,0.23,2006-10-18,0.23,0.23,2006-Q4,AMD
2007-01-23 21:00:00,0.12,-0.04,2007-01-23,0.12,-0.04,2007-Q1,AMD
2007-04-19 20:00:00,-0.43,-0.9,2007-04-19,-0.43,-0.9,2007-Q2,AMD
2007-07-19 20:00:00,-0.79,-0.92,2007-07-19,-0.79,-0.92,2007-Q3,AMD
2007-10-18 20:00:00,-0.61,-0.49,2007-10-18,-0.61,-0.49,2007-Q4,AMD
2008-01-17 21:00:00,-0.33,-0.17,2008-01-17,-0.33,-0.17,2008-Q1,AMD
2008-04-17 20:00:00,-0.47,-0.51,2008-04-17,-0.47,-0.51,2008-Q2,AMD
2008-07-17 20:00:00,-0.52,-0.6,2008-07-17,-0.52,-0.6,2008-Q3,AMD
2008-10-16 20:00:00,-0.39,-0.18,2008-10-16,-0.39,-0.18,2008-Q4,AMD
2009-01-22 21:00:00,-0.56,-0.69,2009-01-22,-0.56,-0.69,2009-Q1,AMD
2009-04-21 20:00:00,-0.63,-0.62,2009-04-21,-0.63,-0.62,2009-Q2,AMD
2009-07-21 20:00:00,-0.51,-0.62,2009-07-21,-0.51,-0.62,2009-Q3,AMD
2009-10-15 20:00:00,-0.45,-0.18,2009-10-15,-0.45,-0.18,2009-Q4,AMD
2010-01-21 21:00:00,-0.05,-0.08,2010-01-21,-0.05,-0.08,2010-Q1,AMD
2010-04-15 19:00:00,-0.07,0.06,2010-04-15,-0.07,0.06,2010-Q2,AMD
2010-07-15 20:00:00,0.06,0.11,2010-07-15,0.06,0.11,2010-Q3,AMD
2010-10-14 20:00:00,0.08,0.15,2010-10-14,0.08,0.15,2010-Q4,AMD
2011-01-20 21:00:00,0.11,0.14,2011-01-20,0.11,0.14,2011-Q1,AMD
2011-04-21 20:00:00,0.05,0.08,2011-04-21,0.05,0.08,2011-Q2,AMD
2011-07-21 20:00:00,0.08,0.09,2011-07-21,0.08,0.09,2011-Q3,AMD
2011-10-27 20:00:00,0.1,0.15,2011-10-27,0.1,0.15,2011-Q4,AMD
2012-01-24 21:00:00,0.16,0.19,2012-01-24,0.16,0.19,2012-Q1,AMD
2012-04-19 20:00:00,0.09,0.12,2012-04-19,0.09,0.12,2012-Q2,AMD
2012-07-19 20:00:00,0.07,0.06,2012-07-19,0.07,0.06,2012-Q3,AMD
2012-10-18 20:00:00,-0.16,-0.2,2012-10-18,-0.16,-0.2,2012-Q4,AMD
2013-01-22 21:00:00,-0.21,-0.14,2013-01-22,-0.21,-0.14,2013-Q1,AMD
2013-04-18 20:00:00,-0.17,-0.13,2013-04-18,-0.17,-0.13,2013-Q2,AMD
2013-07-18 20:00:00,-0.12,-0.09,2013-07-18,-0.12,-0.09,2013-Q3,AMD
2013-10-17 20:00:00,0.02,0.04,2013-10-17,0.02,0.04,2013-Q4,AMD
2014-01-21 21:00:00,0.06,0.06,2014-01-21,0.06,0.06,2014-Q1,AMD
2014-04-17 20:00:00,0.01,0.02,2014-04-17,0.01,0.02,2014-Q2,AMD
2014-07-17 20:00:00,0.03,0.02,2014-07-17,0.03,0.02,2014-Q3,AMD
2014-10-16 20:00:00,0.04,0.03,2014-10-16,0.04,0.03,2014-Q4,AMD
2015-01-20 21:00:00,0.01,,2015-01-20,0.01,,2015-Q1,AMD
2015-04-16 20:00:00,-0.06,-0.09,2015-04-16,-0.06,-0.09,2015-Q2,AMD
2015-07-16 20:00:00,-0.16,-0.17,2015-07-16,-0.16,-0.17,2015-Q3,AMD
2015-10-15 20:00:00,-0.12,-0.17,2015-10-15,-0.12,-0.17,2015-Q4,AMD
2016-01-19 21:00:00,-0.1,-0.1,2016-01-19,-0.1,-0.1,2016-Q1,AMD
2016-04-21 20:00:00,-0.13,-0.12,2016-04-21,-0.13,-0.12,2016-Q2,AMD
2016-07-21 20:00:00,-0.09,-0.05,2016-07-21,-0.09,-0.05,2016-Q3,AMD
2016-10-20 20:00:00,,0.03,2016-10-20,,0.03,2016-Q4,AMD
2017-01-31 21:00:00,-0.02,-0.01,2017-01-31,-0.02,-0.01,2017-Q1,AMD
2017-05-01 20:00:00,-0.04,-0.04,2017-05-01,-0.04,-0.04,2017-Q2,AMD
2017-07-25 20:00:00,,0.02,2017-07-25,,0.02,2017-Q3,AMD
2017-10-24 20:00:00,0.08,0.1,2017-10-24,0.08,0.1,2017-Q4,AMD
2018-01-30 21:00:00,0.05,0.08,2018-01-30,0.05,0.08,2018-Q1,AMD
2018-04-25 20:00:00,0.09,0.11,2018-04-25,0.09,0.11,2018-Q2,AMD
2018-07-25 20:00:00,0.13,0.14,2018-07-25,0.13,0.14,2018-Q3,AMD
2018-10-24 20:00:00,0.12,0.13,2018-10-24,0.12,0.13,2018-Q4,AMD
2019-01-29 21:00:00,0.08,0.08,2019-01-29,0.08,0.08,2019-Q1,AMD
2019-04-30 20:00:00,0.06,0.06,2019-04-30,0.06,0.06,2019-Q2,AMD
2019-07-30 20:00:00,0.08,0.08,2019-07-30,0.08,0.08,2019-Q3,AMD
2019-10-29 20:00:00,0.18,0.18,2019-10-29,0.18,0.18,2019-Q4,AMD
2020-01-28 21:00:00,0.31,0.32,2020-01-28,0.31,0.32,2020-Q1,AMD
2020-04-28 21:00:00,0.18,0.18,2020-04-28,0.18,0.18,2020-Q2,AMD
2020-07-28 20:00:00,0.17,0.18,2020-07-28,0.17,0.18,2020-Q3,AMD
2020-10-27 10:00:00,0.36,0.41,2020-10-27,0.36,0.41,2020-Q4,AMD
2021-01-26 21:00:00,0.48,0.52,2021-01-26,0.48,0.52,2021-Q1,AMD
2021-04-27 20:00:00,0.44,0.52,2021-04-27,0.44,0.52,2021-Q2,AMD
2021-07-27 20:00:00,0.54,0.63,2021-07-27,0.54,0.63,2021-Q3,AMD
2021-10-26 20:00:00,0.66,0.73,2021-10-26,0.66,0.73,2021-Q4,AMD
2022-02-01 21:00:00,0.76,0.92,2022-02-01,0.76,0.92,2022-Q1,AMD
2022-05-03 20:00:00,0.92,1.13,2022-05-03,0.92,1.13,2022-Q2,AMD
2022-08-02 20:00:00,1.04,1.05,2022-08-02,1.04,1.05,2022-Q3,AMD
2022-11-01 20:00:00,0.7,0.67,2022-11-01,0.7,0.67,2022-Q4,AMD
2023-01-31 21:00:00,0.67,0.69,2023-01-31,0.67,0.69,2023-Q1,AMD
2023-05-02 20:00:00,0.56,0.6,2023-05-02,0.56,0.6,2023-Q2,AMD
2023-08-01 20:00:00,0.57,0.58,2023-08-01,0.57,0.58,2023-Q3,AMD
2023-10-31 20:00:00,0.68,0.7,2023-10-31,0.68,0.7,2023-Q4,AMD
2024-01-30 21:00:00,0.77,0.77,2024-01-30,0.77,0.77,2024-Q1,AMD
2024-04-30 20:00:00,0.61,0.62,2024-04-30,0.61,0.62,2024-Q2,AMD
2024-07-30 20:00:00,0.68,0.69,2024-07-30,0.68,0.69,2024-Q3,AMD
2024-10-29 20:00:00,0.92,0.92,2024-10-29,0.92,0.92,2024-Q4,AMD
2025-02-04 21:00:00,1.09,1.09,2025-02-04,1.09,1.09,2025-Q1,AMD
2025-05-06 20:00:00,0.93,0.96,2025-05-06,0.93,0.96,2025-Q2,AMD
2025-08-05 20:00:00,0.48,0.48,2025-08-05,0.48,0.48,2025-Q3,AMD
2025-11-04 21:00:00,1.17,1.2,2025-11-04,1.17,1.2,2025-Q4,AMD
2026-02-03 21:00:00,1.32,1.53,2026-02-03,1.32,1.53,2026-Q1,AMD
2026-05-05 21:00:00,1.27,,2026-05-05,1.27,,2026-Q2,AMD
2002-01-22 12:00:00,,,2002-01-22,,,2002-Q1,AMZN
2002-04-23 20:00:00,-0.01,-0.01,2002-04-23,-0.01,-0.01,2002-Q2,AMZN
2002-04-23 20:00:00,,,2002-04-23,,,2002-Q2,AMZN
2002-07-23 21:00:00,-0.01,-0.01,2002-07-23,-0.01,-0.01,2002-Q3,AMZN
2002-07-23 21:00:00,,,2002-07-23,,,2002-Q3,AMZN
2002-10-24 20:00:00,,,2002-10-24,,,2002-Q4,AMZN
2003-01-23 21:00:00,0.01,0.01,2003-01-23,0.01,0.01,2003-Q1,AMZN
2003-04-24 20:00:00,,0.01,2003-04-24,,0.01,2003-Q2,AMZN
2003-07-22 20:00:00,,0.01,2003-07-22,,0.01,2003-Q3,AMZN
2003-10-21 20:00:00,,0.01,2003-10-21,,0.01,2003-Q4,AMZN
2004-01-27 21:00:00,0.01,0.01,2004-01-27,0.01,0.01,2004-Q1,AMZN
2004-04-22 20:00:00,0.01,0.01,2004-04-22,0.01,0.01,2004-Q2,AMZN
2004-07-22 20:00:00,0.01,0.01,2004-07-22,0.01,0.01,2004-Q3,AMZN
2004-10-21 20:00:00,0.01,0.01,2004-10-21,0.01,0.01,2004-Q4,AMZN
2005-02-02 21:00:00,0.02,0.04,2005-02-02,0.02,0.04,2005-Q1,AMZN
2005-04-26 20:00:00,0.01,0.01,2005-04-26,0.01,0.01,2005-Q2,AMZN
2005-07-26 20:00:00,,0.01,2005-07-26,,0.01,2005-Q3,AMZN
2005-10-25 20:00:00,,0.01,2005-10-25,,0.01,2005-Q4,AMZN
2006-02-02 21:00:00,0.01,0.01,2006-02-02,0.01,0.01,2006-Q1,AMZN
2006-04-25 20:00:00,0.01,0.01,2006-04-25,0.01,0.01,2006-Q2,AMZN
2006-07-25 20:00:00,,,2006-07-25,,,2006-Q3,AMZN
2006-10-24 20:00:00,,,2006-10-24,,,2006-Q4,AMZN
2007-02-01 21:00:00,0.01,0.01,2007-02-01,0.01,0.01,2007-Q1,AMZN
2007-04-24 20:00:00,0.01,0.01,2007-04-24,0.01,0.01,2007-Q2,AMZN
2007-07-24 20:00:00,0.01,0.01,2007-07-24,0.01,0.01,2007-Q3,AMZN
2007-10-23 20:00:00,0.01,0.01,2007-10-23,0.01,0.01,2007-Q4,AMZN
2008-01-30 21:00:00,0.02,0.02,2008-01-30,0.02,0.02,2008-Q1,AMZN
