ticker,fiscal_quarter,p_text,actual,model_id,p_poly_yes
AAPL,2023-Q1,0.782276157,1,run_012,
AAPL,2023-Q2,0.713344809,1,run_012,
AAPL,2023-Q3,0.792448388,1,run_012,
AAPL,2023-Q4,0.778663602,1,run_012,
AAPL,2024-Q1,0.813454836,1,run_012,
AAPL,2024-Q2,0.780328302,1,run_012,
AAPL,2024-Q3,0.899951962,1,run_012,
AAPL,2024-Q4,0.853038572,1,run_012,
AAPL,2025-Q1,0.855684495,1,run_012,
AAPL,2025-Q2,0.785563061,1,run_012,
AAPL,2025-Q3,0.890779866,1,run_012,
AAPL,2025-Q4,0.894189211,1,run_012,
ADBE,2023-Q1,0.922470056,1,run_012,
ADBE,2023-Q2,0.953719091,1,run_012,
ADBE,2023-Q3,0.967767246,1,run_012,
ADBE,2023-Q4,0.965607784,1,run_012,
ADBE,2024-Q1,0.944229662,1,run_012,
ADBE,2024-Q2,0.96297215,1,run_012,
ADBE,2024-Q3,0.960581359,1,run_012,
ADBE,2024-Q4,0.942073564,1,run_012,
ADBE,2025-Q1,0.954377373,1,run_012,
ADBE,2025-Q2,0.974919462,1,run_012,
ADBE,2025-Q3,0.963742917,1,run_012,
AMD,2023-Q1,0.859520508,1,run_012,
AMD,2023-Q2,0.725438045,1,run_012,
AMD,2023-Q3,0.873712642,1,run_012,
AMD,2023-Q4,0.88482012,0,run_012,
AMD,2024-Q1,0.854614831,1,run_012,
AMD,2024-Q2,0.881039982,1,run_012,
AMD,2024-Q3,0.837365327,0,run_012,
AMD,2024-Q4,0.870969653,0,run_012,
AMD,2025-Q1,0.855429448,1,run_012,
AMD,2025-Q2,0.8589926,0,run_012,
AMD,2025-Q3,0.851330989,1,run_012,
AMD,2025-Q4,0.816005223,1,run_012,
AMZN,2023-Q1,0.711460203,1,run_012,
AMZN,2023-Q2,0.89491989,1,run_012,
AMZN,2023-Q3,0.845376696,1,run_012,
AMZN,2023-Q4,0.873285829,1,run_012,
AMZN,2024-Q1,0.873121086,1,run_012,
AMZN,2024-Q2,0.675799268,1,run_012,
AMZN,2024-Q3,0.900944769,1,run_012,
AMZN,2024-Q4,0.70905259,1,run_012,
AMZN,2025-Q1,0.710291465,1,run_012,
AMZN,2025-Q2,0.883004635,1,run_012,
AMZN,2025-Q3,0.831145831,1,run_012,0.74-0.88
AMZN,2025-Q4,0.840560799,0,run_012,0.95
AVGO,2023-Q1,0.669744187,1,run_012,
AVGO,2023-Q2,0.704193126,1,run_012,
AVGO,2023-Q3,0.693602242,1,run_012,
AVGO,2023-Q4,0.5748476,1,run_012,
AVGO,2024-Q1,0.559661272,1,run_012,
AVGO,2024-Q2,0.598468803,1,run_012,
AVGO,2024-Q3,0.694910172,1,run_012,
AVGO,2024-Q4,0.702187935,1,run_012,
AVGO,2025-Q1,0.725876716,1,run_012,
AVGO,2025-Q2,0.859992783,1,run_012,
AVGO,2025-Q3,0.777005271,1,run_012,
BAC,2023-Q1,0.668375214,1,run_012,
BAC,2023-Q2,0.724249355,1,run_012,
BAC,2023-Q3,0.642208773,1,run_012,
BAC,2023-Q4,0.671163463,0,run_012,
BAC,2024-Q1,0.837036542,0,run_012,
BAC,2024-Q2,0.858970445,1,run_012,
BAC,2024-Q3,0.82895987,1,run_012,
BAC,2024-Q4,0.865579854,1,run_012,
BAC,2025-Q1,0.719356455,1,run_012,
BAC,2025-Q2,0.874301222,1,run_012,
BAC,2025-Q3,0.821676185,1,run_012,
BAC,2025-Q4,0.86674009,1,run_012,0.79-0.93
BK,2023-Q1,0.560028865,1,run_012,
BK,2023-Q2,0.789582657,1,run_012,
BK,2023-Q3,0.594400983,1,run_012,
BK,2023-Q4,0.879578371,1,run_012,
BK,2024-Q1,0.748777395,1,run_012,
BK,2024-Q2,0.797406704,1,run_012,
BK,2024-Q3,0.792044692,1,run_012,
BK,2024-Q4,0.769154313,1,run_012,
BK,2025-Q1,0.818625744,1,run_012,
BK,2025-Q2,0.624788254,1,run_012,
BK,2025-Q3,0.835002271,1,run_012,
BK,2025-Q4,0.782971848,1,run_012,
BLK,2023-Q1,0.896127296,1,run_012,
BLK,2023-Q2,0.958837456,1,run_012,
BLK,2023-Q3,0.889680949,1,run_012,
BLK,2023-Q4,0.942047892,1,run_012,
BLK,2024-Q1,0.846861078,1,run_012,
BLK,2024-Q2,0.923544488,1,run_012,
BLK,2024-Q3,0.956731839,1,run_012,
BLK,2024-Q4,0.904250068,1,run_012,
BLK,2025-Q1,0.731316117,1,run_012,
BLK,2025-Q2,0.87675999,1,run_012,
BLK,2025-Q3,0.895087868,1,run_012,
BLK,2025-Q4,0.883210435,1,run_012,
BR,2023-Q1,0.809757968,1,run_012,
BR,2023-Q2,0.843905335,1,run_012,
BR,2023-Q3,0.786026683,1,run_012,
BR,2023-Q4,0.787367163,1,run_012,
BR,2024-Q1,0.830563384,0,run_012,
BR,2024-Q2,0.743171085,1,run_012,
