ticker,fiscal_quarter,p_text,actual,model_id
AAPL,2023-Q1,0.812560174,1,run_012
AAPL,2023-Q2,0.715304959,1,run_012
AAPL,2023-Q3,0.780215114,1,run_012
AAPL,2023-Q4,0.766820082,1,run_012
AAPL,2024-Q1,0.830974408,1,run_012
AAPL,2024-Q2,0.797175365,1,run_012
AAPL,2024-Q3,0.89313497,1,run_012
AAPL,2024-Q4,0.735648674,1,run_012
AAPL,2025-Q1,0.836353003,1,run_012
AAPL,2025-Q2,0.720042977,1,run_012
AAPL,2025-Q3,0.893320794,1,run_012
ADBE,2023-Q1,0.833636902,1,run_012
ADBE,2023-Q2,0.910440986,1,run_012
ADBE,2023-Q3,0.898043147,1,run_012
ADBE,2023-Q4,0.858390174,0,run_012
ADBE,2024-Q1,0.853141512,1,run_012
ADBE,2024-Q2,0.860684863,1,run_012
ADBE,2024-Q3,0.872974283,1,run_012
ADBE,2024-Q4,0.893627914,1,run_012
ADBE,2025-Q1,0.834381159,1,run_012
ADBE,2025-Q2,0.882073315,1,run_012
ADBE,2025-Q3,0.866515642,1,run_012
AMD,2023-Q1,0.785007366,0,run_012
AMD,2023-Q2,0.827512184,1,run_012
AMD,2023-Q3,0.853258539,1,run_012
AMD,2023-Q4,0.895445701,1,run_012
AMD,2024-Q1,0.886378058,1,run_012
AMD,2024-Q2,0.87056741,1,run_012
AMD,2024-Q3,0.876944234,0,run_012
AMD,2024-Q4,0.895540424,1,run_012
AMD,2025-Q1,0.862621738,0,run_012
AMD,2025-Q2,0.911808949,0,run_012
AMD,2025-Q3,0.852082854,1,run_012
AMZN,2023-Q1,0.803549133,1,run_012
AMZN,2023-Q2,0.847884612,1,run_012
AMZN,2023-Q3,0.785055967,1,run_012
AMZN,2023-Q4,0.824945583,1,run_012
AMZN,2024-Q1,0.889973924,1,run_012
AMZN,2024-Q2,0.69815293,1,run_012
AMZN,2024-Q3,0.781921288,1,run_012
AMZN,2024-Q4,0.813945904,1,run_012
AMZN,2025-Q1,0.834826759,1,run_012
AMZN,2025-Q2,0.916037596,1,run_012
AMZN,2025-Q3,0.895736683,0,run_012
AVGO,2023-Q1,0.806986949,1,run_012
AVGO,2023-Q2,0.792488032,1,run_012
AVGO,2023-Q3,0.819155938,1,run_012
AVGO,2023-Q4,0.731435273,0,run_012
AVGO,2024-Q1,0.838223474,1,run_012
AVGO,2024-Q2,0.809674551,1,run_012
AVGO,2024-Q3,0.801668919,1,run_012
AVGO,2024-Q4,0.658023035,1,run_012
AVGO,2025-Q1,0.77633844,0,run_012
AVGO,2025-Q2,0.855791056,0,run_012
AVGO,2025-Q3,0.871243076,1,run_012
BAC,2023-Q1,0.81420881,1,run_012
BAC,2023-Q2,0.876267558,1,run_012
BAC,2023-Q3,0.825950548,1,run_012
BAC,2023-Q4,0.887614931,1,run_012
BAC,2024-Q1,0.728678023,1,run_012
BAC,2024-Q2,0.726688013,1,run_012
BAC,2024-Q3,0.879736973,1,run_012
BAC,2024-Q4,0.814848201,1,run_012
BAC,2025-Q1,0.845475058,1,run_012
BAC,2025-Q2,0.893642331,1,run_012
BAC,2025-Q3,0.719397685,1,run_012
BK,2023-Q1,0.790118152,1,run_012
BK,2023-Q2,0.885285151,1,run_012
BK,2023-Q3,0.742711207,1,run_012
BK,2023-Q4,0.900888237,1,run_012
BK,2024-Q1,0.825175012,1,run_012
BK,2024-Q2,0.852204623,1,run_012
BK,2024-Q3,0.798944355,1,run_012
BK,2024-Q4,0.754754695,1,run_012
BK,2025-Q1,0.752365352,1,run_012
BK,2025-Q2,0.791169735,1,run_012
BK,2025-Q3,0.81423137,1,run_012
BLK,2023-Q1,0.915438067,1,run_012
BLK,2023-Q2,0.923647714,1,run_012
BLK,2023-Q3,0.915473714,1,run_012
BLK,2023-Q4,0.747751118,1,run_012
BLK,2024-Q1,0.815004509,1,run_012
BLK,2024-Q2,0.714084089,1,run_012
BLK,2024-Q3,0.891781928,1,run_012
BLK,2024-Q4,0.717089333,1,run_012
BLK,2025-Q1,0.643544672,1,run_012
BLK,2025-Q2,0.773040877,1,run_012
BLK,2025-Q3,0.767923093,1,run_012
BR,2023-Q1,0.698528796,1,run_012
BR,2023-Q2,0.829439652,1,run_012
BR,2023-Q3,0.808411116,1,run_012
BR,2023-Q4,0.823251382,0,run_012
BR,2024-Q1,0.785031452,1,run_012
BR,2024-Q2,0.771722278,0,run_012
BR,2024-Q3,0.834964155,1,run_012
BR,2024-Q4,0.821992924,1,run_012
BR,2025-Q1,0.882456784,1,run_012
BR,2025-Q2,0.80899926,1,run_012
BR,2025-Q3,0.84194566,1,run_012
C,2023-Q1,0.929224621,1,run_012
C,2023-Q2,0.779742448,1,run_012
C,2023-Q3,0.917258205,1,run_012
C,2023-Q4,0.783735582,1,run_012
C,2024-Q1,0.844548106,1,run_012
C,2024-Q2,0.943067437,1,run_012
C,2024-Q3,0.888180438,1,run_012
C,2024-Q4,0.92813987,1,run_012
C,2025-Q1,0.869184448,1,run_012
C,2025-Q2,0.921936582,1,run_012
C,2025-Q3,0.794012246,1,run_012
CRM,2023-Q1,0.715627134,1,run_012
CRM,2023-Q2,0.699899606,1,run_012
CRM,2023-Q3,0.794730993,1,run_012
CRM,2023-Q4,0.833472075,1,run_012
CRM,2024-Q1,0.723545048,1,run_012
CRM,2024-Q2,0.751394427,1,run_012
CRM,2024-Q3,0.871072289,1,run_012
CRM,2024-Q4,0.822049006,1,run_012
CRM,2025-Q1,0.660680157,1,run_012
CRM,2025-Q2,0.727013808,1,run_012
CRM,2025-Q3,0.687441159,1,run_012
DAL,2023-Q1,0.705705003,1,run_012
DAL,2023-Q2,0.887426827,1,run_012
DAL,2023-Q3,0.812844362,1,run_012
DAL,2023-Q4,0.757366864,1,run_012
DAL,2024-Q1,0.816103061,0,run_012
DAL,2024-Q2,0.814635819,0,run_012
DAL,2024-Q3,0.801290487,1,run_012
DAL,2024-Q4,0.797641625,1,run_012
DAL,2025-Q1,0.779994039,1,run_012
