ticker,fiscal_quarter,p_text,actual,is_oos
AAPL,2023-Q1,0.7537225990801565,1,True
AAPL,2023-Q2,0.4765920104576532,1,True
AAPL,2023-Q3,0.7378664754855508,1,True
AAPL,2023-Q4,0.8352935618435186,1,True
AAPL,2024-Q1,0.7557735452340104,1,True
AAPL,2024-Q2,0.5899400671094229,1,True
AAPL,2024-Q3,0.8405857647609636,1,True
AAPL,2024-Q4,0.4323253281623501,1,True
AAPL,2025-Q1,0.6333955919065714,1,True
AAPL,2025-Q2,0.720097246299257,1,True
AAPL,2025-Q3,0.8888194733814823,1,True
ADBE,2023-Q1,0.5113984434107267,1,True
ADBE,2023-Q2,0.6216023273156053,1,True
ADBE,2023-Q3,0.7805837055537813,1,True
ADBE,2023-Q4,0.49680742129202543,0,True
ADBE,2024-Q1,0.5714379666072686,1,True
ADBE,2024-Q2,0.5168317245141183,1,True
ADBE,2024-Q3,0.3345670617571278,1,True
ADBE,2024-Q4,0.6341035669026076,1,True
ADBE,2025-Q1,0.2848858512992961,1,True
ADBE,2025-Q2,0.21888482332639542,1,True
ADBE,2025-Q3,0.4102379488186594,1,True
AMD,2023-Q1,0.7177159372550654,0,True
AMD,2023-Q2,0.8313844173496916,1,True
AMD,2023-Q3,0.8217155647581226,1,True
AMD,2023-Q4,0.921865612351438,1,True
AMD,2024-Q1,0.9402435847769107,1,True
AMD,2024-Q2,0.9372303977527034,1,True
AMD,2024-Q3,0.9323675921486956,0,True
AMD,2024-Q4,0.9740593078154837,1,True
AMD,2025-Q1,0.8984223001895573,0,True
AMD,2025-Q2,0.7597943068732295,0,True
AMD,2025-Q3,0.8387673671618812,1,True
AMZN,2023-Q1,0.7280653412971856,1,True
AMZN,2023-Q2,0.7086252801607557,1,True
AMZN,2023-Q3,0.5172260663591302,1,True
AMZN,2023-Q4,0.811324750315096,1,True
AMZN,2024-Q1,0.852007699225429,1,True
AMZN,2024-Q2,0.4766532230751511,1,True
AMZN,2024-Q3,0.5289446359225581,1,True
AMZN,2024-Q4,0.40314949395341587,1,True
AMZN,2025-Q1,0.7373442956382646,1,True
AMZN,2025-Q2,0.9022170275438454,1,True
AMZN,2025-Q3,0.752993284494872,0,True
AVGO,2023-Q1,0.6527823543048638,1,True
AVGO,2023-Q2,0.8145423743119886,1,True
AVGO,2023-Q3,0.7403301844359134,1,True
AVGO,2023-Q4,0.5838584413940641,0,True
AVGO,2024-Q1,0.7078042572749598,1,True
AVGO,2024-Q2,0.630421858944961,1,True
AVGO,2024-Q3,0.6878274459305815,1,True
AVGO,2024-Q4,0.36724929346834206,1,True
AVGO,2025-Q1,0.5528195706603559,0,True
AVGO,2025-Q2,0.9055114714793578,0,True
AVGO,2025-Q3,0.9059581422195718,1,True
BAC,2023-Q1,0.5769463866257725,1,True
BAC,2023-Q2,0.7808973433331384,1,True
BAC,2023-Q3,0.9231151772512866,1,True
BAC,2023-Q4,0.8211727204013747,1,True
BAC,2024-Q1,0.606741919236551,1,True
BAC,2024-Q2,0.3104788606962248,1,True
BAC,2024-Q3,0.73681885989361,1,True
BAC,2024-Q4,0.7559281195987315,1,True
BAC,2025-Q1,0.9012197159738925,1,True
BAC,2025-Q2,0.8081843867031241,1,True
BAC,2025-Q3,0.622915631531248,1,True
BK,2023-Q1,0.9006296341540716,1,True
BK,2023-Q2,0.9428559294567149,1,True
BK,2023-Q3,0.7172802713624843,1,True
BK,2023-Q4,0.8584708808857454,1,True
BK,2024-Q1,0.7340154431270919,1,True
BK,2024-Q2,0.6213003272698602,1,True
BK,2024-Q3,0.5022793844366469,1,True
BK,2024-Q4,0.30282108462379903,1,True
BK,2025-Q1,0.5507272715508413,1,True
BK,2025-Q2,0.27885184694592374,1,True
BK,2025-Q3,0.7524044743269379,1,True
BLK,2023-Q1,0.9131017860559605,1,True
BLK,2023-Q2,0.9336738842852736,1,True
BLK,2023-Q3,0.9468330606185894,1,True
BLK,2023-Q4,0.8437682865199112,1,True
BLK,2024-Q1,0.8821243445979619,1,True
BLK,2024-Q2,0.4495738465774684,1,True
BLK,2024-Q3,0.8787910238422005,1,True
BLK,2024-Q4,0.7366074486174622,1,True
BLK,2025-Q1,0.44781946767555075,1,True
BLK,2025-Q2,0.7504960684632891,1,True
BLK,2025-Q3,0.7334372613968584,1,True
BR,2023-Q1,0.5339468406834333,1,True
BR,2023-Q2,0.7211179183873044,1,True
BR,2023-Q3,0.5252511969867617,1,True
BR,2023-Q4,0.8618819722211707,0,True
BR,2024-Q1,0.6669646149721473,1,True
