model,logloss_mean,logloss_std,brier_mean,brier_std,p_mean_mean,p_mean_std
model_1_logistic,0.565144897762286,0.14567045013404384,0.18551656922821166,0.05489116634366824,0.7143760281357885,0.03283552204128667
model_2_rf,0.40462136233114787,0.024122417984502993,0.11893315929506935,0.010903459372114994,0.7643173345927128,0.003948320988222149
model_3_gbdt,0.41735020651535626,0.028360515219941488,0.1242352483361213,0.0128539038659084,0.7688551021966387,0.003250260000791397
