model,n_oos,beat_rate,logloss_oos,brier_oos,auc_oos,p_mean,p_std
model_2_rf,307,0.8794788273615635,0.4027145614358604,0.11802171354874348,0.6197197197197197,0.7644212173308851,0.07588307558247574
model_3_gbdt,307,0.8794788273615635,0.41519191452358856,0.12318696892677072,0.5308308308308308,0.7686165678389418,0.08880627056303704
model_1_logistic,307,0.8794788273615635,0.5501337063479588,0.17989046374410522,0.46426426426426426,0.716435962401535,0.20664467688892713
