ticker,fiscal_quarter,model_id,p_text,actual,is_oos
AAPL,2023-Q1,rf_best,0.798861550563116,1,True
ADBE,2023-Q1,rf_best,0.8582002432468742,1,True
AMD,2023-Q1,rf_best,0.8169634270402678,1,True
AMZN,2023-Q1,rf_best,0.7713279835100066,1,True
AVGO,2023-Q1,rf_best,0.7187814637371963,1,True
BAC,2023-Q1,rf_best,0.7567072644085181,1,True
BK,2023-Q1,rf_best,0.7139082272570639,1,True
BLK,2023-Q1,rf_best,0.725680497003234,1,True
BR,2023-Q1,rf_best,0.7945198360756925,1,True
C,2023-Q1,rf_best,0.8506238780188553,1,True
CRM,2023-Q1,rf_best,0.855209790854139,1,True
DAL,2023-Q1,rf_best,0.8377730253205825,0,True
GS,2023-Q1,rf_best,0.7533451573710859,1,True
INTC,2023-Q1,rf_best,0.8134290654839863,1,True
JPM,2023-Q1,rf_best,0.740950042202405,1,True
MS,2023-Q1,rf_best,0.8360535958136845,1,True
MSFT,2023-Q1,rf_best,0.6802791119936176,1,True
MTB,2023-Q1,rf_best,0.6428063688657363,1,True
NFLX,2023-Q1,rf_best,0.5166412114112294,0,True
NOW,2023-Q1,rf_best,0.7973893672703187,1,True
NVDA,2023-Q1,rf_best,0.7346777815980008,1,True
PNC,2023-Q1,rf_best,0.7188118870310723,1,True
QCOM,2023-Q1,rf_best,0.8679386455856296,0,True
SHOP,2023-Q1,rf_best,0.8802666019250526,1,True
STT,2023-Q1,rf_best,0.7318636404357463,0,True
TSLA,2023-Q1,rf_best,0.8775323586533105,0,True
TSM,2023-Q1,rf_best,0.7990867086842413,1,True
WFC,2023-Q1,rf_best,0.5301730262544797,1,True
AAPL,2023-Q2,rf_best,0.822886798186329,1,True
ADBE,2023-Q2,rf_best,0.8445091088703292,1,True
AMD,2023-Q2,rf_best,0.8045638576233849,1,True
AMZN,2023-Q2,rf_best,0.8021665365658031,1,True
AVGO,2023-Q2,rf_best,0.7558222667234556,1,True
BAC,2023-Q2,rf_best,0.7933364137801953,1,True
BK,2023-Q2,rf_best,0.8151571855215966,1,True
BLK,2023-Q2,rf_best,0.8174272097599865,1,True
BR,2023-Q2,rf_best,0.7510084972522575,1,True
C,2023-Q2,rf_best,0.7017392882276621,0,True
CRM,2023-Q2,rf_best,0.7952879584448622,1,True
DAL,2023-Q2,rf_best,0.8695683691307993,1,True
GS,2023-Q2,rf_best,0.7294047348636103,0,True
INTC,2023-Q2,rf_best,0.8654961052913623,1,True
JPM,2023-Q2,rf_best,0.7522717910763278,1,True
MS,2023-Q2,rf_best,0.8466884112823324,1,True
MSFT,2023-Q2,rf_best,0.6293969983220182,1,True
MTB,2023-Q2,rf_best,0.7686512193989923,1,True
NFLX,2023-Q2,rf_best,0.4399735977187366,1,True
NOW,2023-Q2,rf_best,0.887476009865628,1,True
NVDA,2023-Q2,rf_best,0.5700488779666187,1,True
PNC,2023-Q2,rf_best,0.7283594694953269,1,True
QCOM,2023-Q2,rf_best,0.8608043333030724,1,True
SHOP,2023-Q2,rf_best,0.8518247522773621,1,True
STT,2023-Q2,rf_best,0.7606699632645351,1,True
TSLA,2023-Q2,rf_best,0.7559415867102155,1,True
TSM,2023-Q2,rf_best,0.718583700084264,1,True
WFC,2023-Q2,rf_best,0.48806836129669134,1,True
